Repository Name,repo_url,has_readme,has_license,has_citation,has_contributing,has_tags
govex.github.io,https://github.com/govex/govex.github.io,True,True,False,True,False
open-data-getting-started,https://github.com/govex/open-data-getting-started,True,True,False,True,False
open-data-metadata-guide,https://github.com/govex/open-data-metadata-guide,True,True,False,True,False
performance-management-getting-started,https://github.com/govex/performance-management-getting-started,True,False,False,False,False
open-data-portal-requirements,https://github.com/govex/open-data-portal-requirements,True,True,False,False,False
city-data-value-tool,https://github.com/govex/city-data-value-tool,True,False,False,False,False
open-data-inventory,https://github.com/govex/open-data-inventory,True,True,False,True,False
old-site,https://github.com/govex/old-site,False,False,False,False,False
Dashboard,https://github.com/govex/Dashboard,True,True,False,False,False
data-ownership,https://github.com/govex/data-ownership,True,False,False,False,False
databuoy,https://github.com/govex/databuoy,True,False,False,True,False
setting-performance-targets-getting-started-guide,https://github.com/govex/setting-performance-targets-getting-started-guide,True,False,False,False,False
benchmarking,https://github.com/govex/benchmarking,True,False,False,False,False
culture,https://github.com/govex/culture,True,False,False,False,False
course-site,https://github.com/govex/course-site,True,True,False,False,False
courses-old,https://github.com/govex/courses-old,True,True,False,False,False
Talent,https://github.com/govex/Talent,True,False,False,False,False
slack-asana,https://github.com/govex/slack-asana,True,False,False,False,False
openprism,https://github.com/govex/openprism,False,False,False,False,False
performance-based-budgeting,https://github.com/govex/performance-based-budgeting,True,False,False,False,False
Data-Science,https://github.com/govex/Data-Science,True,False,False,False,False
community-engagement,https://github.com/govex/community-engagement,True,False,False,False,False
Open-Data-Performance-Analytics-Launch-Toolkit,https://github.com/govex/Open-Data-Performance-Analytics-Launch-Toolkit,True,False,False,False,False
get-github,https://github.com/govex/get-github,True,False,False,False,False
basic-html-files,https://github.com/govex/basic-html-files,True,False,False,False,False
talent-temp,https://github.com/govex/talent-temp,True,False,False,False,False
Jackson,https://github.com/govex/Jackson,True,False,False,False,False
city-cluster,https://github.com/govex/city-cluster,True,False,False,False,False
Fort_Lauderdale,https://github.com/govex/Fort_Lauderdale,True,False,False,False,False
atviras-vilnius-content,https://github.com/govex/atviras-vilnius-content,True,True,False,False,False
kiss-frontend,https://github.com/govex/kiss-frontend,True,False,False,False,False
kiss-data,https://github.com/govex/kiss-data,False,False,False,False,False
datastandards.directory,https://github.com/govex/datastandards.directory,True,False,False,False,False
Analytics-Training,https://github.com/govex/Analytics-Training,True,True,False,False,False
heroku-database-backups,https://github.com/govex/heroku-database-backups,True,True,False,False,False
pgbackups-archive-app,https://github.com/govex/pgbackups-archive-app,True,False,False,False,False
slack-invite-automation,https://github.com/govex/slack-invite-automation,True,True,False,False,False
sqlpad,https://github.com/govex/sqlpad,True,True,False,False,True
python-lessons-for-gov,https://github.com/govex/python-lessons-for-gov,True,True,False,False,False
cookiecutter-data-science,https://github.com/govex/cookiecutter-data-science,True,True,False,False,False
ethics-algorithms-toolkit,https://github.com/govex/ethics-algorithms-toolkit,True,True,False,False,True
talentpy,https://github.com/govex/talentpy,True,False,False,False,False
housing_affordability,https://github.com/govex/housing_affordability,True,False,False,False,False
COVID-19,https://github.com/govex/COVID-19,True,True,False,False,False
LongBeachLibraries,https://github.com/govex/LongBeachLibraries,True,False,False,False,False
ivac-comit,https://github.com/govex/ivac-comit,True,False,False,False,False
offline.comitglobal.org,https://github.com/govex/offline.comitglobal.org,False,False,False,False,False
epa-aqi-scraping,https://github.com/govex/epa-aqi-scraping,True,False,False,False,False
sole-life-expectancy,https://github.com/govex/sole-life-expectancy,True,False,False,False,False
sole-schools,https://github.com/govex/sole-schools,False,False,False,False,False
sole-maps,https://github.com/govex/sole-maps,False,True,False,False,False
iowacitytransitmap,https://github.com/govex/iowacitytransitmap,True,False,False,False,False
bloombergbusinessopportunitycohorts,https://github.com/govex/bloombergbusinessopportunitycohorts,True,False,False,False,False
cde-sonification,https://github.com/govex/cde-sonification,True,False,False,False,False
cde-chatbot,https://github.com/govex/cde-chatbot,True,False,False,False,False
datagov_catalog_monitor,https://github.com/govex/datagov_catalog_monitor,True,False,False,False,False
la_recovery,https://github.com/govex/la_recovery,True,False,False,False,False
jhuemissions,https://github.com/govex/jhuemissions,True,False,False,False,False
jhuemissions_data,https://github.com/govex/jhuemissions_data,True,False,False,False,False
jhu_hr_commute_map,https://github.com/govex/jhu_hr_commute_map,True,False,False,False,False
ai-readiness-assessment,https://github.com/govex/ai-readiness-assessment,True,False,False,False,False
ai_readiness_assessment_server,https://github.com/govex/ai_readiness_assessment_server,True,False,False,False,False
la-recovery-cms,https://github.com/govex/la-recovery-cms,True,False,False,False,False
llm_survey_bot,https://github.com/govex/llm_survey_bot,True,False,False,False,False
OCS_progress_report_prototypes,https://github.com/govex/OCS_progress_report_prototypes,True,False,False,False,False
cde_anomaly_detection,https://github.com/govex/cde_anomaly_detection,True,False,False,False,False
govex-knowledge-slackbot,https://github.com/govex/govex-knowledge-slackbot,True,False,False,False,False
cde-mcp,https://github.com/govex/cde-mcp,True,False,False,False,False
caic_retreat2025,https://github.com/govex/caic_retreat2025,False,False,False,False,False
small-area-estimator,https://github.com/govex/small-area-estimator,True,False,False,False,False
cdc-wonder-scraper,https://github.com/govex/cdc-wonder-scraper,True,False,False,False,False
