Repository Name,repo_url,has_readme,has_license,has_citation,has_contributing,has_tags
sqlarray,https://github.com/idies/sqlarray,False,False,False,False,False
streamingpca,https://github.com/idies/streamingpca,False,False,False,False,False
oldSdssOrg,https://github.com/idies/oldSdssOrg,False,False,False,False,False
rest-client,https://github.com/idies/rest-client,True,False,False,False,False
sdssOrg,https://github.com/idies/sdssOrg,True,True,False,True,False
Turbulence,https://github.com/idies/Turbulence,False,False,False,False,False
turblib,https://github.com/idies/turblib,True,False,False,False,False
turbmat,https://github.com/idies/turbmat,True,True,False,False,False
turbmat-tools,https://github.com/idies/turbmat-tools,False,True,False,False,False
MPIArrayTools,https://github.com/idies/MPIArrayTools,False,True,False,False,False
VOWebServices,https://github.com/idies/VOWebServices,False,False,False,False,False
RMHDConverter,https://github.com/idies/RMHDConverter,False,True,False,False,False
sqltools,https://github.com/idies/sqltools,True,False,False,False,False
sdss_logos,https://github.com/idies/sdss_logos,True,True,False,False,False
hemi,https://github.com/idies/hemi,True,False,False,False,False
java-tomcat-template,https://github.com/idies/java-tomcat-template,True,False,False,False,False
escience-2016-wp,https://github.com/idies/escience-2016-wp,True,True,False,False,True
escience-2016-wp-theme,https://github.com/idies/escience-2016-wp-theme,True,True,False,True,True
voyages_sdss_wp,https://github.com/idies/voyages_sdss_wp,False,True,False,False,True
HdfWrapper,https://github.com/idies/HdfWrapper,True,False,False,False,False
IDIES_Artwork,https://github.com/idies/IDIES_Artwork,False,False,False,False,True
idies_wp_theme,https://github.com/idies/idies_wp_theme,True,True,False,True,True
skyserver-traffic,https://github.com/idies/skyserver-traffic,False,False,False,False,False
scisql,https://github.com/idies/scisql,False,True,False,False,False
qserv,https://github.com/idies/qserv,True,False,False,False,True
qserv_testdata,https://github.com/idies/qserv_testdata,False,False,False,False,True
jetty-webservice-template,https://github.com/idies/jetty-webservice-template,False,False,False,False,False
3DHST-fits,https://github.com/idies/3DHST-fits,False,False,False,False,False
jhu-lsst,https://github.com/idies/jhu-lsst,False,False,False,False,True
SDSS-WordPress-Website-DR14,https://github.com/idies/SDSS-WordPress-Website-DR14,False,True,False,False,True
MangaDB,https://github.com/idies/MangaDB,True,False,False,False,False
science-domains,https://github.com/idies/science-domains,True,False,False,False,False
Visualization-Hackathon,https://github.com/idies/Visualization-Hackathon,True,True,False,False,True
explore-notebook,https://github.com/idies/explore-notebook,True,True,False,False,True
OSN-WordPress,https://github.com/idies/OSN-WordPress,False,True,False,False,True
IDIESOrders,https://github.com/idies/IDIESOrders,False,False,False,False,False
solarsystemsearch,https://github.com/idies/solarsystemsearch,False,False,False,False,True
SQLSearchWP-Casjobs,https://github.com/idies/SQLSearchWP-Casjobs,True,False,False,False,True
SDSS-WordPress-Website-DR15,https://github.com/idies/SDSS-WordPress-Website-DR15,False,True,False,False,True
voyages-image-list,https://github.com/idies/voyages-image-list,True,False,False,False,False
ExploreTool,https://github.com/idies/ExploreTool,True,False,False,False,False
testgit,https://github.com/idies/testgit,False,False,False,False,False
jhu-polybase,https://github.com/idies/jhu-polybase,True,False,False,False,False
exr-converter,https://github.com/idies/exr-converter,True,True,False,False,False
sql-server-samples,https://github.com/idies/sql-server-samples,True,True,False,False,True
taplib,https://github.com/idies/taplib,True,False,False,False,True
poseidon_wp_theme,https://github.com/idies/poseidon_wp_theme,True,True,False,True,False
SpecDash,https://github.com/idies/SpecDash,True,True,False,False,True
general-information,https://github.com/idies/general-information,True,False,False,False,False
faas-proto,https://github.com/idies/faas-proto,False,True,False,False,False
ceph-benchmarking,https://github.com/idies/ceph-benchmarking,True,True,False,False,False
k8s-dev-local-cluster,https://github.com/idies/k8s-dev-local-cluster,True,True,False,False,False
ollama_document_search,https://github.com/idies/ollama_document_search,True,True,False,False,False
jhu-vpn,https://github.com/idies/jhu-vpn,True,True,False,False,False
cython-patterns,https://github.com/idies/cython-patterns,False,True,False,False,False
