Repository Name,repo_url,has_readme,has_license,has_citation,has_contributing,has_tags
SQL-MV_SYSTEM_DB,https://github.com/JH-MedVitals/SQL-MV_SYSTEM_DB,True,False,False,False,False
SQL-DOM-HR,https://github.com/JH-MedVitals/SQL-DOM-HR,False,False,False,False,False
SQL-DOM_FACULTY_PORTAL,https://github.com/JH-MedVitals/SQL-DOM_FACULTY_PORTAL,False,False,False,False,False
SQL-MV-FIN-DR,https://github.com/JH-MedVitals/SQL-MV-FIN-DR,False,False,False,False,False
WEB-HOPCAT,https://github.com/JH-MedVitals/WEB-HOPCAT,False,False,False,False,False
SQLRepo,https://github.com/JH-MedVitals/SQLRepo,True,False,False,False,False
PythonCodeRepo,https://github.com/JH-MedVitals/PythonCodeRepo,True,False,False,False,False
SQL-DB-FRITS,https://github.com/JH-MedVitals/SQL-DB-FRITS,False,False,False,False,False
WEB-FRITS,https://github.com/JH-MedVitals/WEB-FRITS,False,False,False,False,False
SQL-DB-SOMFE_DR,https://github.com/JH-MedVitals/SQL-DB-SOMFE_DR,False,False,False,False,False
SQL-SOM_DR,https://github.com/JH-MedVitals/SQL-SOM_DR,False,False,False,False,False
DB-SOM_SYSTEM_DB,https://github.com/JH-MedVitals/DB-SOM_SYSTEM_DB,False,False,False,False,False
SQL-DB-MV_CLIN_DR,https://github.com/JH-MedVitals/SQL-DB-MV_CLIN_DR,False,False,False,False,False
DB-SQL-MARS,https://github.com/JH-MedVitals/DB-SQL-MARS,False,False,False,False,False
SQL-DB-SOMIS_DB,https://github.com/JH-MedVitals/SQL-DB-SOMIS_DB,False,False,False,False,False
SQL-DB-SOMIS_MVSYSTEMDB,https://github.com/JH-MedVitals/SQL-DB-SOMIS_MVSYSTEMDB,False,False,False,False,False
DB-SQL-ViralHepClinical,https://github.com/JH-MedVitals/DB-SQL-ViralHepClinical,False,False,False,False,False
DB-SQL-ViralHepLab,https://github.com/JH-MedVitals/DB-SQL-ViralHepLab,False,False,False,False,False
DB-SQL-STAGING,https://github.com/JH-MedVitals/DB-SQL-STAGING,False,False,False,False,False
DB-SQL-RADIOLOGY_DR,https://github.com/JH-MedVitals/DB-SQL-RADIOLOGY_DR,False,False,False,False,False
DB-SQL-DOM_FINANCE_DW,https://github.com/JH-MedVitals/DB-SQL-DOM_FINANCE_DW,False,False,False,False,False
DB-SQL-PROFEE_STAGING,https://github.com/JH-MedVitals/DB-SQL-PROFEE_STAGING,False,False,False,False,False
DB-SQL-EPIC_CLARITY_DW,https://github.com/JH-MedVitals/DB-SQL-EPIC_CLARITY_DW,False,False,False,False,False
SQL-DB-FRITS-MVSYSTEMDB,https://github.com/JH-MedVitals/SQL-DB-FRITS-MVSYSTEMDB,False,False,False,False,False
DB-SQL-Pt_Acuity_Tool,https://github.com/JH-MedVitals/DB-SQL-Pt_Acuity_Tool,False,False,False,False,False
WEB-SOM_MEDVITALS,https://github.com/JH-MedVitals/WEB-SOM_MEDVITALS,True,False,False,False,True
WEB-DOM_MEDVITALS,https://github.com/JH-MedVitals/WEB-DOM_MEDVITALS,True,False,False,False,True
WEB-EPASS,https://github.com/JH-MedVitals/WEB-EPASS,True,False,False,False,True
WEB-VIRALHEPDB,https://github.com/JH-MedVitals/WEB-VIRALHEPDB,False,False,False,False,False
WEB-DOM_FACULTY_PORTAL,https://github.com/JH-MedVitals/WEB-DOM_FACULTY_PORTAL,False,False,False,False,False
WEB-RAD_FACULTY_PORTAL,https://github.com/JH-MedVitals/WEB-RAD_FACULTY_PORTAL,True,False,False,False,False
WEB-OFI-SOMIS,https://github.com/JH-MedVitals/WEB-OFI-SOMIS,False,False,False,False,True
DOM-FILE_SCHD,https://github.com/JH-MedVitals/DOM-FILE_SCHD,False,False,False,False,False
DOM-FILE_SCHEDULER,https://github.com/JH-MedVitals/DOM-FILE_SCHEDULER,False,False,False,False,False
WEB-JHHS-MARS,https://github.com/JH-MedVitals/WEB-JHHS-MARS,False,False,False,False,False
WEB-API-MARS-ODATA,https://github.com/JH-MedVitals/WEB-API-MARS-ODATA,False,False,False,False,False
WEB-OFI-MedTrackPro,https://github.com/JH-MedVitals/WEB-OFI-MedTrackPro,True,False,False,False,True
WEB-RAD-EPIC-CHARGE-MASTER,https://github.com/JH-MedVitals/WEB-RAD-EPIC-CHARGE-MASTER,False,False,False,False,False
WEB-SOM_REPORTS-API,https://github.com/JH-MedVitals/WEB-SOM_REPORTS-API,True,False,False,False,True
WEB-EPASS-PRINTING,https://github.com/JH-MedVitals/WEB-EPASS-PRINTING,False,False,False,False,False
WEB-HOPKINSHP-WEBFORMS,https://github.com/JH-MedVitals/WEB-HOPKINSHP-WEBFORMS,False,False,False,False,False
WEB-JHSROD,https://github.com/JH-MedVitals/WEB-JHSROD,False,False,False,False,False
WEB-SOM-FCT-WEBFORMS,https://github.com/JH-MedVitals/WEB-SOM-FCT-WEBFORMS,False,False,False,False,False
WEBAPP-FRITS-FELLOWSINTAKE,https://github.com/JH-MedVitals/WEBAPP-FRITS-FELLOWSINTAKE,False,False,False,False,False
DB-SQL-FIN_STAGING,https://github.com/JH-MedVitals/DB-SQL-FIN_STAGING,False,False,False,False,False
WEB-OFI-SOMIS-REPORTS,https://github.com/JH-MedVitals/WEB-OFI-SOMIS-REPORTS,True,False,False,False,False
WEB-Archive,https://github.com/JH-MedVitals/WEB-Archive,False,False,False,False,False
WEB-API-EPASS-EPIC,https://github.com/JH-MedVitals/WEB-API-EPASS-EPIC,False,False,False,False,False
WEB-API-JHI-Smartsheet,https://github.com/JH-MedVitals/WEB-API-JHI-Smartsheet,False,False,False,False,False
WEB-API-SOM-PARTB-ODATA,https://github.com/JH-MedVitals/WEB-API-SOM-PARTB-ODATA,False,False,False,False,False
WEB-API-JHI-KSASmartsheet,https://github.com/JH-MedVitals/WEB-API-JHI-KSASmartsheet,True,False,False,False,False
WEBAPP-SOM-NSLIS-INTAKE,https://github.com/JH-MedVitals/WEBAPP-SOM-NSLIS-INTAKE,True,False,False,False,False
SQL-SOM_DR_NEW,https://github.com/JH-MedVitals/SQL-SOM_DR_NEW,True,False,False,False,False
NSLS_Console_App,https://github.com/JH-MedVitals/NSLS_Console_App,True,False,False,False,False
WEBAPP-SOM-NSLIS-REAPPOINTMENTS,https://github.com/JH-MedVitals/WEBAPP-SOM-NSLIS-REAPPOINTMENTS,True,False,False,False,False
somisreports,https://github.com/JH-MedVitals/somisreports,True,False,False,False,False
NSLISLetterAdmin,https://github.com/JH-MedVitals/NSLISLetterAdmin,True,False,False,False,False
ClinicalCorrection,https://github.com/JH-MedVitals/ClinicalCorrection,False,False,False,False,False
WEB-RAD-Clinical-Correction,https://github.com/JH-MedVitals/WEB-RAD-Clinical-Correction,False,False,False,False,False
