Repository Name,repo_url,has_readme,has_license,has_citation,has_contributing,has_tags
JHU-CUT,https://github.com/JHU-CLSP/JHU-CUT,True,False,False,False,False
gpt2-narrative-decoding,https://github.com/JHU-CLSP/gpt2-narrative-decoding,True,False,False,False,False
civil-unrest-case-study,https://github.com/JHU-CLSP/civil-unrest-case-study,True,False,False,False,False
CLSP-grid-onboarding,https://github.com/JHU-CLSP/CLSP-grid-onboarding,True,False,False,False,False
docker-http-api-example,https://github.com/JHU-CLSP/docker-http-api-example,True,False,False,False,False
csci-601-771-self-supervised-models,https://github.com/JHU-CLSP/csci-601-771-self-supervised-models,False,False,False,False,False
carmen-wnut22-submission,https://github.com/JHU-CLSP/carmen-wnut22-submission,True,False,False,False,False
Select-Topics-In-Multilingual-NLP,https://github.com/JHU-CLSP/Select-Topics-In-Multilingual-NLP,True,False,False,False,False
Bernice-Twitter-encoder,https://github.com/JHU-CLSP/Bernice-Twitter-encoder,True,True,False,False,False
clsp-pubs,https://github.com/JHU-CLSP/clsp-pubs,True,False,False,False,False
turking-bench,https://github.com/JHU-CLSP/turking-bench,True,True,False,False,False
rockfish-tutorial,https://github.com/JHU-CLSP/rockfish-tutorial,True,False,False,False,False
according-to,https://github.com/JHU-CLSP/according-to,True,False,False,False,False
Geo-Seq2seq-Twitter,https://github.com/JHU-CLSP/Geo-Seq2seq-Twitter,True,True,False,False,False
Confidence-Estimation-TrustNLP2023,https://github.com/JHU-CLSP/Confidence-Estimation-TrustNLP2023,True,True,False,False,False
AnaloBench,https://github.com/JHU-CLSP/AnaloBench,True,False,False,False,False
prompt-format-grounding,https://github.com/JHU-CLSP/prompt-format-grounding,True,False,False,False,False
NELLIE,https://github.com/JHU-CLSP/NELLIE,True,False,False,False,False
CS-601-471-671-Sp24-Public,https://github.com/JHU-CLSP/CS-601-471-671-Sp24-Public,True,False,False,False,False
Cost-Effective-Experiment,https://github.com/JHU-CLSP/Cost-Effective-Experiment,True,False,False,False,False
Kreyol-MT,https://github.com/JHU-CLSP/Kreyol-MT,True,True,False,False,False
RATIONALYST,https://github.com/JHU-CLSP/RATIONALYST,True,False,False,False,False
slack_lm,https://github.com/JHU-CLSP/slack_lm,True,False,False,False,False
NeoCoder,https://github.com/JHU-CLSP/NeoCoder,True,True,False,False,False
wikicite,https://github.com/JHU-CLSP/wikicite,True,False,False,False,False
Feedback-Friction,https://github.com/JHU-CLSP/Feedback-Friction,True,False,False,False,False
science-hierarchography,https://github.com/JHU-CLSP/science-hierarchography,True,False,False,False,False
CS-601-471-671-Sp25,https://github.com/JHU-CLSP/CS-601-471-671-Sp25,True,False,False,False,False
verifiable-by-design,https://github.com/JHU-CLSP/verifiable-by-design,True,False,False,False,False
ModernBERT,https://github.com/JHU-CLSP/ModernBERT,True,True,False,False,False
icl-ciphers,https://github.com/JHU-CLSP/icl-ciphers,True,False,False,False,False
scify-data,https://github.com/JHU-CLSP/scify-data,True,False,False,False,False
CLAIMCHECK,https://github.com/JHU-CLSP/CLAIMCHECK,True,False,False,False,False
web-agent-arena,https://github.com/JHU-CLSP/web-agent-arena,False,False,False,False,False
arXiv2Table,https://github.com/JHU-CLSP/arXiv2Table,True,True,False,False,False
al-qasida,https://github.com/JHU-CLSP/al-qasida,True,False,False,False,False
Speech_NSF_NextGen,https://github.com/JHU-CLSP/Speech_NSF_NextGen,True,False,False,False,False
webagentarena-v2,https://github.com/JHU-CLSP/webagentarena-v2,False,True,False,True,False
translation-barrier,https://github.com/JHU-CLSP/translation-barrier,True,False,False,False,False
ettin-encoder-vs-decoder,https://github.com/JHU-CLSP/ettin-encoder-vs-decoder,True,True,False,False,False
MEDIC,https://github.com/JHU-CLSP/MEDIC,True,False,False,False,False
hell-or-high-water,https://github.com/JHU-CLSP/hell-or-high-water,True,True,False,False,False
eval-the-eval-readability,https://github.com/JHU-CLSP/eval-the-eval-readability,True,False,False,False,False
SciFyCodeAgent,https://github.com/JHU-CLSP/SciFyCodeAgent,True,False,False,False,False
DryRun2_Pipeline,https://github.com/JHU-CLSP/DryRun2_Pipeline,True,False,False,False,False
challenging_the_judge,https://github.com/JHU-CLSP/challenging_the_judge,True,False,False,False,False
mmBERT,https://github.com/JHU-CLSP/mmBERT,True,False,False,False,False
RepliCan-C4C,https://github.com/JHU-CLSP/RepliCan-C4C,True,False,False,False,False
BloomScrub,https://github.com/JHU-CLSP/BloomScrub,True,False,False,False,False
MedExpert,https://github.com/JHU-CLSP/MedExpert,True,True,False,False,False
icl-in-genomics-models,https://github.com/JHU-CLSP/icl-in-genomics-models,True,False,False,False,False
