Repository Name,repo_url,has_readme,has_license,has_citation,has_contributing,has_tags
datacite,https://github.com/jhu-data-services/datacite,True,False,False,False,False
GeoBlacklightMetadata,https://github.com/jhu-data-services/GeoBlacklightMetadata,True,False,False,False,False
r-shiny-workshop,https://github.com/jhu-data-services/r-shiny-workshop,True,True,False,False,False
jhuds-workshop-template,https://github.com/jhu-data-services/jhuds-workshop-template,True,True,False,False,False
love-data-week,https://github.com/jhu-data-services/love-data-week,True,False,False,False,False
data-visualization-resources,https://github.com/jhu-data-services/data-visualization-resources,True,True,False,False,False
high-dimensional-data-vis,https://github.com/jhu-data-services/high-dimensional-data-vis,True,True,False,False,False
python-installation-instructions,https://github.com/jhu-data-services/python-installation-instructions,True,True,False,False,False
r-installation-instructions,https://github.com/jhu-data-services/r-installation-instructions,True,True,False,False,False
data-cleaning-openrefine,https://github.com/jhu-data-services/data-cleaning-openrefine,True,True,False,False,False
vis-a-week,https://github.com/jhu-data-services/vis-a-week,True,True,False,False,False
libanswers-automator,https://github.com/jhu-data-services/libanswers-automator,True,True,False,False,False
intro-to-data-visualization-in-r,https://github.com/jhu-data-services/intro-to-data-visualization-in-r,True,True,False,False,False
data-wrangling-pandas,https://github.com/jhu-data-services/data-wrangling-pandas,True,True,False,False,True
creating-effective-scientific-figures,https://github.com/jhu-data-services/creating-effective-scientific-figures,True,False,False,False,False
intro-to-data-visualization-in-python,https://github.com/jhu-data-services/intro-to-data-visualization-in-python,True,True,False,False,False
sharing-jupyter-notebooks-with-binder,https://github.com/jhu-data-services/sharing-jupyter-notebooks-with-binder,True,False,False,False,False
sharing-jupyter-notebooks-with-binder-presentation,https://github.com/jhu-data-services/sharing-jupyter-notebooks-with-binder-presentation,True,False,False,False,False
intro-to-regex,https://github.com/jhu-data-services/intro-to-regex,True,False,False,False,False
storymaps-workshop-files,https://github.com/jhu-data-services/storymaps-workshop-files,True,True,False,False,False
data-curation-tools,https://github.com/jhu-data-services/data-curation-tools,True,True,False,False,False
intro-to-data-visualization-in-shiny,https://github.com/jhu-data-services/intro-to-data-visualization-in-shiny,True,True,False,False,False
intro-scripting-arcgis-api-python,https://github.com/jhu-data-services/intro-scripting-arcgis-api-python,True,True,False,False,False
data-dispatches,https://github.com/jhu-data-services/data-dispatches,True,False,False,False,False
data-bytes-speeding-up-python-code,https://github.com/jhu-data-services/data-bytes-speeding-up-python-code,True,True,False,False,False
data-bytes-infographics-business-analyst,https://github.com/jhu-data-services/data-bytes-infographics-business-analyst,True,True,False,False,False
data-bytes-debugging-python-code,https://github.com/jhu-data-services/data-bytes-debugging-python-code,True,True,False,False,False
data-bytes-intro-to-leaflet,https://github.com/jhu-data-services/data-bytes-intro-to-leaflet,True,True,False,False,False
data-visualization-in-r-with-ggplot2,https://github.com/jhu-data-services/data-visualization-in-r-with-ggplot2,True,True,False,False,False
data-vis-in-r-ggplot2,https://github.com/jhu-data-services/data-vis-in-r-ggplot2,True,True,False,False,False
data-bytes-intro-to-APIs-R,https://github.com/jhu-data-services/data-bytes-intro-to-APIs-R,True,True,False,False,False
designing-effective-data-visualizations,https://github.com/jhu-data-services/designing-effective-data-visualizations,True,False,False,False,False
instruction-tracking-script,https://github.com/jhu-data-services/instruction-tracking-script,True,False,False,False,False
reproducible-research-jupyter,https://github.com/jhu-data-services/reproducible-research-jupyter,True,False,False,False,False
data-wrangling-pandas-instructor,https://github.com/jhu-data-services/data-wrangling-pandas-instructor,True,True,False,False,False
data-bytes-command-line-wizardry,https://github.com/jhu-data-services/data-bytes-command-line-wizardry,True,True,False,False,False
ldw24-quarto,https://github.com/jhu-data-services/ldw24-quarto,True,True,False,False,False
reproducible-research-jupyterlab,https://github.com/jhu-data-services/reproducible-research-jupyterlab,True,True,False,False,False
reshaping-joining-R-dplyr,https://github.com/jhu-data-services/reshaping-joining-R-dplyr,True,True,False,False,False
workshop-slide-images,https://github.com/jhu-data-services/workshop-slide-images,True,True,False,False,False
reproducible-documents-quarto,https://github.com/jhu-data-services/reproducible-documents-quarto,True,True,False,False,False
data-bytes-extracting-pdf-data-python,https://github.com/jhu-data-services/data-bytes-extracting-pdf-data-python,True,True,False,False,False
DV-Uploader-Script,https://github.com/jhu-data-services/DV-Uploader-Script,True,False,False,False,False
data-bytes-making-sense-of-the-census,https://github.com/jhu-data-services/data-bytes-making-sense-of-the-census,True,True,False,False,False
configuring-conda-for-compliance,https://github.com/jhu-data-services/configuring-conda-for-compliance,True,False,False,False,False
interactive-data-visualization-in-r-with-shiny,https://github.com/jhu-data-services/interactive-data-visualization-in-r-with-shiny,True,True,False,False,False
corelogic-explorer,https://github.com/jhu-data-services/corelogic-explorer,True,False,False,False,False
JHRDR_PMA_Ingest,https://github.com/jhu-data-services/JHRDR_PMA_Ingest,True,False,False,False,False
storytelling-with-data,https://github.com/jhu-data-services/storytelling-with-data,True,False,False,False,False
making-data-clear,https://github.com/jhu-data-services/making-data-clear,False,False,False,False,False
dplyr-quarto-site,https://github.com/jhu-data-services/dplyr-quarto-site,True,False,False,False,False
attendance-checker,https://github.com/jhu-data-services/attendance-checker,False,False,False,False,False
Introduction-to-APIs-in-R,https://github.com/jhu-data-services/Introduction-to-APIs-in-R,True,True,False,False,False
Introduction-to-APIs-in-Python,https://github.com/jhu-data-services/Introduction-to-APIs-in-Python,True,True,False,False,False
