Repository Name,repo_url,has_readme,has_license,has_citation,has_contributing,has_tags
catalyst-ansible,https://github.com/jhu-library-applications/catalyst-ansible,True,True,False,False,False
custom_reports,https://github.com/jhu-library-applications/custom_reports,True,True,False,False,False
dspace-editing,https://github.com/jhu-library-applications/dspace-editing,True,False,False,False,False
archivesspace-api,https://github.com/jhu-library-applications/archivesspace-api,True,False,False,False,False
dspace-data-collection-1,https://github.com/jhu-library-applications/dspace-data-collection-1,True,False,False,False,False
marc-data,https://github.com/jhu-library-applications/marc-data,True,False,False,False,False
file-management,https://github.com/jhu-library-applications/file-management,True,False,False,False,False
oclc-api,https://github.com/jhu-library-applications/oclc-api,True,False,False,False,False
viaf-dbpedia-reconciliation-python,https://github.com/jhu-library-applications/viaf-dbpedia-reconciliation-python,True,False,False,False,False
homewood-photo,https://github.com/jhu-library-applications/homewood-photo,False,False,False,False,False
text-audio-image-processing,https://github.com/jhu-library-applications/text-audio-image-processing,True,False,False,False,False
openRefine-viaf-reconciliation,https://github.com/jhu-library-applications/openRefine-viaf-reconciliation,False,False,False,False,False
rdf,https://github.com/jhu-library-applications/rdf,True,False,False,False,False
datacite,https://github.com/jhu-library-applications/datacite,True,False,False,False,False
subject-remediation,https://github.com/jhu-library-applications/subject-remediation,True,False,False,False,False
dspace-ftp-import,https://github.com/jhu-library-applications/dspace-ftp-import,True,False,False,False,False
geoportal,https://github.com/jhu-library-applications/geoportal,True,False,False,False,False
geoblacklight,https://github.com/jhu-library-applications/geoblacklight,True,True,False,False,False
vocab-apis,https://github.com/jhu-library-applications/vocab-apis,True,False,False,False,False
ares_shib,https://github.com/jhu-library-applications/ares_shib,True,False,False,False,False
catalyst-blacklight,https://github.com/jhu-library-applications/catalyst-blacklight,True,True,False,False,True
ansible-role-login-user,https://github.com/jhu-library-applications/ansible-role-login-user,True,False,False,False,True
ansible-role-secure-ssh,https://github.com/jhu-library-applications/ansible-role-secure-ssh,True,False,False,False,False
ansible-role-deploy-keys,https://github.com/jhu-library-applications/ansible-role-deploy-keys,True,True,False,False,True
ansible-role-java,https://github.com/jhu-library-applications/ansible-role-java,True,True,False,False,False
ansible-role-apache,https://github.com/jhu-library-applications/ansible-role-apache,True,False,False,False,True
ansible-role-passenger,https://github.com/jhu-library-applications/ansible-role-passenger,True,False,False,False,False
ansible-role-chruby,https://github.com/jhu-library-applications/ansible-role-chruby,True,True,False,False,True
ansible-role-mysql,https://github.com/jhu-library-applications/ansible-role-mysql,True,False,False,False,False
ansible-role-jetty,https://github.com/jhu-library-applications/ansible-role-jetty,True,False,False,False,False
ansible-role-shibboleth-sp,https://github.com/jhu-library-applications/ansible-role-shibboleth-sp,True,False,False,False,True
ansible-role-firewalld,https://github.com/jhu-library-applications/ansible-role-firewalld,True,True,False,False,False
ansible-role-bantheman,https://github.com/jhu-library-applications/ansible-role-bantheman,True,False,False,False,False
ansible-role-logrotate,https://github.com/jhu-library-applications/ansible-role-logrotate,True,False,False,False,False
ansible-role-testup,https://github.com/jhu-library-applications/ansible-role-testup,True,False,False,False,False
ansible-role-solr,https://github.com/jhu-library-applications/ansible-role-solr,True,True,False,False,False
ansible-role-fail2ban,https://github.com/jhu-library-applications/ansible-role-fail2ban,True,False,False,False,False
catalyst-web-page-inventory,https://github.com/jhu-library-applications/catalyst-web-page-inventory,True,False,False,False,False
catalyst-docker-solr,https://github.com/jhu-library-applications/catalyst-docker-solr,True,True,False,False,False
dspace-6.3,https://github.com/jhu-library-applications/dspace-6.3,True,True,False,False,True
umlaut,https://github.com/jhu-library-applications/umlaut,True,True,False,False,True
umlaut_borrow_direct,https://github.com/jhu-library-applications/umlaut_borrow_direct,True,True,False,False,True
borrow_direct,https://github.com/jhu-library-applications/borrow_direct,True,True,False,False,True
openurl,https://github.com/jhu-library-applications/openurl,True,False,False,False,True
ruby-marc,https://github.com/jhu-library-applications/ruby-marc,True,True,False,False,True
confstruct,https://github.com/jhu-library-applications/confstruct,True,False,False,False,True
scrub_rb,https://github.com/jhu-library-applications/scrub_rb,True,True,False,False,True
islandora8-ingest,https://github.com/jhu-library-applications/islandora8-ingest,True,False,False,False,False
blacklight_cql,https://github.com/jhu-library-applications/blacklight_cql,True,True,False,False,True
lean-library-database-list,https://github.com/jhu-library-applications/lean-library-database-list,True,False,False,False,False
geoportal-ansible,https://github.com/jhu-library-applications/geoportal-ansible,True,True,False,False,False
sfx-custom,https://github.com/jhu-library-applications/sfx-custom,True,False,False,False,False
sfx-ansible,https://github.com/jhu-library-applications/sfx-ansible,True,False,False,False,False
pod-upload,https://github.com/jhu-library-applications/pod-upload,True,False,False,False,False
ezproxy-ansible-role,https://github.com/jhu-library-applications/ezproxy-ansible-role,True,True,False,False,False
