Repository Name,repo_url,has_readme,has_license,has_citation,has_contributing,has_tags
gitops-terraform-demo,https://github.com/jhu-library-operations/gitops-terraform-demo,False,False,False,False,False
route53-updater,https://github.com/jhu-library-operations/route53-updater,True,False,False,False,False
golang-atlassian-cloud,https://github.com/jhu-library-operations/golang-atlassian-cloud,False,True,False,False,False
kubernetes-demo,https://github.com/jhu-library-operations/kubernetes-demo,True,False,False,False,False
go-roboops-external-user-management,https://github.com/jhu-library-operations/go-roboops-external-user-management,False,False,False,False,False
tf-roboops,https://github.com/jhu-library-operations/tf-roboops,False,False,False,False,False
k8s-example,https://github.com/jhu-library-operations/k8s-example,True,False,False,False,False
kubernetes-complex-kustomize,https://github.com/jhu-library-operations/kubernetes-complex-kustomize,False,False,False,False,False
msel-k8s-efs-provisioner,https://github.com/jhu-library-operations/msel-k8s-efs-provisioner,False,False,False,False,False
tf-mod-aws-eks-k8s-cluster,https://github.com/jhu-library-operations/tf-mod-aws-eks-k8s-cluster,True,False,False,False,False
tf-mod-azure-aks-k8s-cluster,https://github.com/jhu-library-operations/tf-mod-azure-aks-k8s-cluster,True,False,False,False,False
terraform-abac-policies,https://github.com/jhu-library-operations/terraform-abac-policies,False,False,False,False,False
tf-aws-abac-project-bootstrap,https://github.com/jhu-library-operations/tf-aws-abac-project-bootstrap,True,False,False,False,True
awsu,https://github.com/jhu-library-operations/awsu,True,False,False,False,False
terraform-aws-external-dns-k8s,https://github.com/jhu-library-operations/terraform-aws-external-dns-k8s,True,False,False,False,False
derek_sandbox,https://github.com/jhu-library-operations/derek_sandbox,True,False,False,False,False
gha-k8s-demo,https://github.com/jhu-library-operations/gha-k8s-demo,False,False,False,False,False
tf-welchit-s3-bucket,https://github.com/jhu-library-operations/tf-welchit-s3-bucket,True,False,False,False,False
library-aws-k8s-application,https://github.com/jhu-library-operations/library-aws-k8s-application,True,False,False,False,False
grype-scan-repo-docker,https://github.com/jhu-library-operations/grype-scan-repo-docker,True,True,False,False,True
tf-mod-aws-efs-pv-k8s,https://github.com/jhu-library-operations/tf-mod-aws-efs-pv-k8s,True,True,False,False,False
ops-k8s,https://github.com/jhu-library-operations/ops-k8s,True,False,False,False,False
mysqldump-image-docker,https://github.com/jhu-library-operations/mysqldump-image-docker,True,True,False,False,False
exampleApp-k8s,https://github.com/jhu-library-operations/exampleApp-k8s,True,False,False,False,False
turkleApp-k8s,https://github.com/jhu-library-operations/turkleApp-k8s,False,False,False,False,False
turkle,https://github.com/jhu-library-operations/turkle,False,True,False,False,True
grype-scan-repo-action,https://github.com/jhu-library-operations/grype-scan-repo-action,True,True,False,False,True
tf-mod-k8s-mysql-backup,https://github.com/jhu-library-operations/tf-mod-k8s-mysql-backup,False,False,False,False,False
github-manager,https://github.com/jhu-library-operations/github-manager,False,False,False,False,False
traefikApp-k8s,https://github.com/jhu-library-operations/traefikApp-k8s,False,False,False,False,False
tf-mod-traefik-crd,https://github.com/jhu-library-operations/tf-mod-traefik-crd,True,True,False,False,False
kube-tools,https://github.com/jhu-library-operations/kube-tools,True,True,False,False,True
shibboleth-metadata-generator-image,https://github.com/jhu-library-operations/shibboleth-metadata-generator-image,True,False,False,False,False
managed-kubernetes-template,https://github.com/jhu-library-operations/managed-kubernetes-template,True,False,False,False,False
tf-linter-ng,https://github.com/jhu-library-operations/tf-linter-ng,True,False,False,False,True
tf-linter-ng-action,https://github.com/jhu-library-operations/tf-linter-ng-action,True,True,False,False,True
oci-mariadb-init,https://github.com/jhu-library-operations/oci-mariadb-init,True,False,False,False,False
oci-wait-for-db,https://github.com/jhu-library-operations/oci-wait-for-db,True,False,False,False,False
ansible-server-management,https://github.com/jhu-library-operations/ansible-server-management,True,False,False,False,False
shibboleth-sp-oci-image,https://github.com/jhu-library-operations/shibboleth-sp-oci-image,False,False,False,False,False
base-oci-image,https://github.com/jhu-library-operations/base-oci-image,False,False,False,False,False
tf-mod-aws-ebs-pv-k8s,https://github.com/jhu-library-operations/tf-mod-aws-ebs-pv-k8s,True,True,False,False,False
lutece-sfnc-k8s,https://github.com/jhu-library-operations/lutece-sfnc-k8s,True,False,False,False,False
oci-mysql,https://github.com/jhu-library-operations/oci-mysql,True,False,False,False,False
vsm-checksum-scripts,https://github.com/jhu-library-operations/vsm-checksum-scripts,True,False,False,False,False
testing_jira,https://github.com/jhu-library-operations/testing_jira,True,False,False,False,False
diun-prototype,https://github.com/jhu-library-operations/diun-prototype,True,True,False,False,False
imun,https://github.com/jhu-library-operations/imun,True,True,False,False,False
helm-charts,https://github.com/jhu-library-operations/helm-charts,True,False,False,False,True
pass-loaders,https://github.com/jhu-library-operations/pass-loaders,True,False,False,False,False
scott_sandbox,https://github.com/jhu-library-operations/scott_sandbox,True,False,False,False,False
jhu-aws-tf-ops-bootstrap,https://github.com/jhu-library-operations/jhu-aws-tf-ops-bootstrap,True,False,False,False,False
jhu-aws-iac-idc,https://github.com/jhu-library-operations/jhu-aws-iac-idc,True,True,False,True,True
terraform-aws-iam-role,https://github.com/jhu-library-operations/terraform-aws-iam-role,True,True,False,False,False
jhu-aws-tf-dataverse,https://github.com/jhu-library-operations/jhu-aws-tf-dataverse,True,True,False,False,False
