Repository Name,repo_url,has_readme,has_license,has_citation,has_contributing,has_tags
API,https://github.com/neuroconductor/API,True,False,False,False,False
gifti,https://github.com/neuroconductor/gifti,True,False,False,False,True
kirby21.base,https://github.com/neuroconductor/kirby21.base,False,False,False,False,True
waveslim,https://github.com/neuroconductor/waveslim,True,True,False,False,True
ROpenCVLite,https://github.com/neuroconductor/ROpenCVLite,True,True,False,False,True
RNifti,https://github.com/neuroconductor/RNifti,True,False,False,False,True
kirby21.mricloud,https://github.com/neuroconductor/kirby21.mricloud,True,False,False,False,True
kirby21.asl,https://github.com/neuroconductor/kirby21.asl,True,False,False,False,True
kirby21.det2,https://github.com/neuroconductor/kirby21.det2,True,False,False,False,True
kirby21.t1,https://github.com/neuroconductor/kirby21.t1,True,False,False,False,True
kirby21.t2,https://github.com/neuroconductor/kirby21.t2,True,False,False,False,True
kirby21.flair,https://github.com/neuroconductor/kirby21.flair,True,False,False,False,True
kirby21.vaso,https://github.com/neuroconductor/kirby21.vaso,True,False,False,False,True
kirby21.mt,https://github.com/neuroconductor/kirby21.mt,True,False,False,False,True
kirby21.fmri,https://github.com/neuroconductor/kirby21.fmri,True,False,False,False,True
dcm2niir,https://github.com/neuroconductor/dcm2niir,True,False,False,False,True
DensParcorr,https://github.com/neuroconductor/DensParcorr,False,False,False,False,True
dcmtk,https://github.com/neuroconductor/dcmtk,True,False,False,False,True
cfma,https://github.com/neuroconductor/cfma,True,False,False,False,True
fmri,https://github.com/neuroconductor/fmri,True,False,False,False,True
I2C2,https://github.com/neuroconductor/I2C2,True,False,False,False,True
ggseg,https://github.com/neuroconductor/ggseg,True,True,False,False,True
malf.templates,https://github.com/neuroconductor/malf.templates,True,True,False,False,True
MriCloudR,https://github.com/neuroconductor/MriCloudR,True,True,False,False,True
MRIcloudT1volumetrics,https://github.com/neuroconductor/MRIcloudT1volumetrics,True,False,False,False,True
msmri,https://github.com/neuroconductor/msmri,True,True,False,False,True
neurohcp,https://github.com/neuroconductor/neurohcp,True,False,False,False,True
kirby21.dti,https://github.com/neuroconductor/kirby21.dti,True,False,False,False,True
kirby21.smri,https://github.com/neuroconductor/kirby21.smri,True,False,False,False,True
sri24,https://github.com/neuroconductor/sri24,True,True,False,False,True
RNiftyReg,https://github.com/neuroconductor/RNiftyReg,True,False,False,False,True
fmriqa,https://github.com/neuroconductor/fmriqa,True,False,False,False,True
divest,https://github.com/neuroconductor/divest,True,True,False,False,True
gganatogram,https://github.com/neuroconductor/gganatogram,True,False,False,False,True
oro.nifti,https://github.com/neuroconductor/oro.nifti,True,True,False,False,True
pain21,https://github.com/neuroconductor/pain21,True,False,False,False,True
bftools,https://github.com/neuroconductor/bftools,True,True,False,False,True
aws,https://github.com/neuroconductor/aws,False,False,False,False,True
EEGSpectralAnalysis,https://github.com/neuroconductor/EEGSpectralAnalysis,True,False,False,False,True
EveTemplate,https://github.com/neuroconductor/EveTemplate,True,False,False,False,True
MNITemplate,https://github.com/neuroconductor/MNITemplate,True,False,False,False,True
cifti,https://github.com/neuroconductor/cifti,True,False,False,False,True
brainR,https://github.com/neuroconductor/brainR,True,False,False,False,True
oro.dicom,https://github.com/neuroconductor/oro.dicom,True,True,False,False,True
voxel,https://github.com/neuroconductor/voxel,True,False,False,False,True
cap,https://github.com/neuroconductor/cap,True,False,False,False,True
neurocInstall,https://github.com/neuroconductor/neurocInstall,True,False,False,False,True
oro.asl,https://github.com/neuroconductor/oro.asl,False,True,False,False,True
mmand,https://github.com/neuroconductor/mmand,True,False,False,False,True
dcemriS4,https://github.com/neuroconductor/dcemriS4,True,True,False,False,True
oro.pet,https://github.com/neuroconductor/oro.pet,True,True,False,False,True
neurobase,https://github.com/neuroconductor/neurobase,True,False,False,False,True
sublime,https://github.com/neuroconductor/sublime,True,False,False,False,True
WhiteStripe,https://github.com/neuroconductor/WhiteStripe,True,False,False,False,True
dti,https://github.com/neuroconductor/dti,True,False,False,False,True
Rxnat,https://github.com/neuroconductor/Rxnat,True,False,False,False,True
papayar,https://github.com/neuroconductor/papayar,True,False,False,False,True
itksnapr,https://github.com/neuroconductor/itksnapr,True,False,False,False,True
ggneuro,https://github.com/neuroconductor/ggneuro,True,False,False,False,True
papayaWidget,https://github.com/neuroconductor/papayaWidget,True,False,False,False,True
afnir,https://github.com/neuroconductor/afnir,True,False,False,False,True
spm12r,https://github.com/neuroconductor/spm12r,True,True,False,False,True
brainKCCA,https://github.com/neuroconductor/brainKCCA,True,False,False,False,True
stapler,https://github.com/neuroconductor/stapler,True,True,False,False,True
penn115,https://github.com/neuroconductor/penn115,True,True,False,False,True
mni,https://github.com/neuroconductor/mni,True,True,False,False,True
nsrr,https://github.com/neuroconductor/nsrr,True,True,False,False,True
radtools,https://github.com/neuroconductor/radtools,True,True,False,False,True
RAVELData,https://github.com/neuroconductor/RAVELData,True,False,False,False,True
Rvision,https://github.com/neuroconductor/Rvision,True,True,False,False,True
rtapas,https://github.com/neuroconductor/rtapas,True,False,False,False,True
RIA,https://github.com/neuroconductor/RIA,True,False,False,False,True
alvin,https://github.com/neuroconductor/alvin,True,True,False,False,True
NiftiArray,https://github.com/neuroconductor/NiftiArray,True,True,False,False,True
qMRI,https://github.com/neuroconductor/qMRI,True,False,False,False,True
pbj,https://github.com/neuroconductor/pbj,True,False,False,False,True
fslr,https://github.com/neuroconductor/fslr,True,False,False,False,True
aal,https://github.com/neuroconductor/aal,True,True,False,False,True
nitrcbot,https://github.com/neuroconductor/nitrcbot,True,False,False,False,True
freesurfer,https://github.com/neuroconductor/freesurfer,True,False,False,False,True
RAVEL,https://github.com/neuroconductor/RAVEL,True,False,False,False,True
oasis,https://github.com/neuroconductor/oasis,True,False,False,False,True
eegUtils,https://github.com/neuroconductor/eegUtils,True,True,True,False,True
freesurferformats,https://github.com/neuroconductor/freesurferformats,True,True,False,True,True
neurocStats,https://github.com/neuroconductor/neurocStats,True,False,False,False,True
spant,https://github.com/neuroconductor/spant,True,False,False,False,True
rcamino,https://github.com/neuroconductor/rcamino,True,False,False,False,True
ITKR,https://github.com/neuroconductor/ITKR,True,False,False,False,True
dcmsort,https://github.com/neuroconductor/dcmsort,True,True,False,False,True
neuroCombatData,https://github.com/neuroconductor/neuroCombatData,True,False,False,False,True
neuroCombat,https://github.com/neuroconductor/neuroCombat,True,False,False,False,True
ciftiTools,https://github.com/neuroconductor/ciftiTools,True,False,False,False,True
ANTsRCore,https://github.com/neuroconductor/ANTsRCore,True,False,False,False,True
fMRIscrub,https://github.com/neuroconductor/fMRIscrub,True,False,False,False,True
