Repository Name,repo_url,has_readme,has_license,has_citation,has_contributing,has_tags
NetworkStudy_Template,https://github.com/OHDSI-JHU/NetworkStudy_Template,True,False,False,False,False
NetworkStudy_LowValueVascularSurgery,https://github.com/OHDSI-JHU/NetworkStudy_LowValueVascularSurgery,True,False,False,False,False
NetworkStudy_InterstitialLungDisease,https://github.com/OHDSI-JHU/NetworkStudy_InterstitialLungDisease,True,False,False,False,False
NetworkStudy_PedsTonsillectomy,https://github.com/OHDSI-JHU/NetworkStudy_PedsTonsillectomy,True,False,False,False,False
NetworkStudy_Liver,https://github.com/OHDSI-JHU/NetworkStudy_Liver,True,False,False,False,False
NetworkStudy_AsthmaBiologics,https://github.com/OHDSI-JHU/NetworkStudy_AsthmaBiologics,True,False,False,False,False
NetworkStudy_StrokeImagingFollowUp,https://github.com/OHDSI-JHU/NetworkStudy_StrokeImagingFollowUp,True,False,False,False,False
NetworkStudy_CDiffColorectalCancer,https://github.com/OHDSI-JHU/NetworkStudy_CDiffColorectalCancer,True,False,False,False,False
NetworkStudy_PICU_Sepsis_Antiobiotics_ADEs,https://github.com/OHDSI-JHU/NetworkStudy_PICU_Sepsis_Antiobiotics_ADEs,True,False,False,False,False
NetworkStudy_NICU_Prematurity_Hypertension,https://github.com/OHDSI-JHU/NetworkStudy_NICU_Prematurity_Hypertension,True,False,False,False,False
NetworkStudy_Myositis,https://github.com/OHDSI-JHU/NetworkStudy_Myositis,True,False,False,False,False
NetworkStudy-EXPERT-1a,https://github.com/OHDSI-JHU/NetworkStudy-EXPERT-1a,True,False,False,False,False
NetworkStudy_ACHD,https://github.com/OHDSI-JHU/NetworkStudy_ACHD,True,False,False,False,False
OMOP_ETL,https://github.com/OHDSI-JHU/OMOP_ETL,True,False,False,False,False
NetworkStudy_PedGI_CrohnsDisease_InitialDx,https://github.com/OHDSI-JHU/NetworkStudy_PedGI_CrohnsDisease_InitialDx,True,False,False,False,False
ETL_v2_demo,https://github.com/OHDSI-JHU/ETL_v2_demo,True,False,False,False,False
HADES-JHU,https://github.com/OHDSI-JHU/HADES-JHU,True,False,False,False,False
AllAboutOHDSIAtHopkins,https://github.com/OHDSI-JHU/AllAboutOHDSIAtHopkins,True,False,False,False,False
CDC_Matlink,https://github.com/OHDSI-JHU/CDC_Matlink,True,False,False,False,False
rit-safer-templates,https://github.com/OHDSI-JHU/rit-safer-templates,True,False,False,False,False
JavaSynthDataGenerator,https://github.com/OHDSI-JHU/JavaSynthDataGenerator,True,False,False,False,False
BIDS_General,https://github.com/OHDSI-JHU/BIDS_General,True,False,False,False,False
OHDSI_Toolkit,https://github.com/OHDSI-JHU/OHDSI_Toolkit,True,False,False,False,False
article_classifier,https://github.com/OHDSI-JHU/article_classifier,True,False,False,False,False
mimic-openemr-etl,https://github.com/OHDSI-JHU/mimic-openemr-etl,True,True,False,False,False
matlink-validation-front-end,https://github.com/OHDSI-JHU/matlink-validation-front-end,True,False,False,False,False
matlink-redcap-transfer,https://github.com/OHDSI-JHU/matlink-redcap-transfer,True,False,False,False,False
